,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
144,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,bundookhan,26.294893915357058,50.209485569356744,Pakistani Restaurant
145,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Costa Coffee,26.294181404103274,50.21819057376371,Coffee Shop
146,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,مقهى الغابة forest coffee shop,26.29061469665841,50.217259513326134,Coffee Shop
147,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Retro Burger (ريترو برغر),26.292895124833002,50.21593273111978,Burger Joint
148,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Jasmine Coffee Shop (مقهى الياسمين),26.29101646958787,50.21485263486993,Café
149,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Adas Cafe & Billiards,26.29638706204477,50.216372890750115,Pool Hall
150,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,مطاعم التركيستاني البخاري,26.293295222172432,50.214109763639186,African Restaurant
151,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Master Phone,26.293035,50.213984,Electronics Store
152,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Golden Fire Chinese Rest,26.294210214856673,50.212641290523045,Chinese Restaurant
153,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,DOWN TOWN HOTEL SUITES,26.292509499166194,50.21497980034894,Hotel
154,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,E-Challenge Cafeh (Official).,26.29287002287441,50.21615147673247,Video Game Store
155,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Somewhere in Suwakit,26.293829930778074,50.21141926622019,Astrologer
156,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,الهير الشرقي,26.29477908077577,50.21718364913254,Fishing Store
